Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender
Gökhan Akkan,genclerbirligi,GK,0.0,0.0,0.0,GK,False,False
Michał Nalepa,genclerbirligi,"MF,FW",0.0,0.0,0.0,MF,True,True
Adama Traoré,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True
Moussa Kyabou,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True
Dal Varesanovic,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True
Samed Onur,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True
Henry Onyekuru,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True
Ricardo Velho,genclerbirligi,GK,0.0,0.0,0.0,GK,False,False
Daniel Popa,genclerbirligi,FW,0.0,0.0,0.0,FW,True,False
Fıratcan Üzüm,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True
Oghenekaro Etebo,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True
Sinan Osmanoğlu,genclerbirligi,DF,0.0,0.0,0.0,DF,False,True
Kevin Csoboth,genclerbirligi,FW,0.0,0.0,0.0,FW,True,False
Dilhan Demir,genclerbirligi,MF,0.0,0.0,0.0,MF,True,True
Furkan Ayaz,genclerbirligi,NAN,0.0,0.0,0.0,NAN,False,False
Mehmet Akbal,genclerbirligi,MF,,,,MF,True,True
Yiğit Aydar,genclerbirligi,DF,,,,DF,False,True
Ebrar Aydın,genclerbirligi,GK,,,,GK,False,False
Mikail Okyar,genclerbirligi,MF,,,,MF,True,True
Yusuf Temel,genclerbirligi,FW,,,,FW,True,False
Opponent Total,genclerbirligi,NAN,,0.92,,NAN,False,False
Héliton,Göztepe,DF,0.0,0.08,0.08,DF,False,True
Mateusz Lis,Göztepe,GK,0.0,0.0,0.0,GK,False,False
Amine Cherni,Göztepe,MF,0.0,0.17,0.17,MF,True,True
Arda Kurtulan,Göztepe,MF,0.0,0.09,0.09,MF,True,True
Janderson,Göztepe,FW,0.09,0.28,0.37,FW,True,False
Malcom Bokélé,Göztepe,DF,0.1,0.0,0.1,DF,False,True
Rhaldney,Göztepe,MF,0.1,0.1,0.2,MF,True,True
Juan Santos,Göztepe,FW,0.52,0.0,0.52,FW,True,False
Anthony Dennis,Göztepe,MF,0.21,0.0,0.21,MF,True,True
Junior Olaitan,Göztepe,MF,0.17,0.0,0.17,MF,True,True
Novatus Dismas,Göztepe,"MF,DF",0.0,0.15,0.15,MF,True,True
Efkan Bekiroğlu,Göztepe,MF,0.45,0.22,0.67,MF,True,True
Allan Godói,Göztepe,DF,0.0,0.21,0.21,DF,False,True
Taha Altıkardeş,Göztepe,DF,0.0,0.0,0.0,DF,False,True
Furkan Bayır,Göztepe,DF,0.0,0.0,0.0,DF,False,True
Emersonn,Göztepe,FW,0.72,0.0,0.72,FW,True,False
Ibrahim Sabra,Göztepe,FW,,0.0,,FW,True,False
İsmail Köybaşı,Göztepe,DF,0.0,0.0,0.0,DF,False,True
Ahmed Ildiz,Göztepe,MF,0.0,0.0,0.0,MF,True,True
Ruan,Göztepe,"DF,MF",0.0,0.0,0.0,DF,False,True
Salem Bouajila,Göztepe,FW,0.0,0.0,0.0,FW,True,False
Uğur Kaan Yıldız,Göztepe,DF,0.0,0.0,0.0,DF,False,True
Ogün Bayrak,Göztepe,MF,,,,MF,True,True
Tibet Durakçay,Göztepe,FW,,,,FW,True,False
Ekrem Kılıçarslan,Göztepe,GK,,,,GK,False,False
Nevzat Üzel,Göztepe,GK,,,,GK,False,False
Ege Yıldırım,Göztepe,DF,,,,DF,False,True
Opponent Total,Göztepe,NAN,0.5,0.25,0.75,NAN,False,False
Andreas Gianniotis,kasimpasa,GK,0.0,0.0,0.0,GK,False,False
Nicholas Opoku,kasimpasa,DF,0.0,0.0,0.0,DF,False,True
Andri Fannar Baldursson,kasimpasa,MF,0.0,0.0,0.0,MF,True,True
Attila Szalai,kasimpasa,DF,0.0,0.09,0.09,DF,False,True
Cláudio Winck,kasimpasa,DF,0.29,0.0,0.29,DF,False,True
Godfried Frimpong,kasimpasa,"DF,MF",0.0,0.11,0.11,DF,False,True
Pape Habib Guèye,kasimpasa,FW,0.33,0.0,0.33,FW,True,False
Mortadha Ben Ouanes,kasimpasa,"MF,DF",0.11,0.45,0.56,MF,True,True
Mamadou Fall,kasimpasa,"MF,FW",0.0,0.0,0.0,MF,True,True
Haris Hajradinović,kasimpasa,MF,0.33,0.0,0.33,MF,True,True
Cafú,kasimpasa,MF,0.0,0.0,0.0,MF,True,True
Cem Üstündag,kasimpasa,MF,0.0,0.0,0.0,MF,True,True
